
Single objective optimization:
1 Variables

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible
I = 6.32 A | Time = 1163.0 s | Tmax = 307.75 K | Vmax = 3.424 V | J = 1778.8
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 5.32 A | Time = 1381.0 s | Tmax = 305.91 K | Vmax = 3.414 V | J = 1842.2
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.32 A | Time = 1163.0 s | Tmax = 307.75 K | Vmax = 3.424 V | J = 1778.8
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 7.32 A | Time = 1004.0 s | Tmax = 309.56 K | Vmax = 3.434 V | J = 1785.8
I = 6.32 A | Time = 1163.0 s | Tmax = 307.75 K | Vmax = 3.424 V | J = 1778.9
    5               68            1776            1791        2
I = 5.32 A | Time = 1381.0 s | Tmax = 305.91 K | Vmax = 3.414 V | J = 1842.2
I = 6.32 A | Time = 1163.0 s | Tmax = 307.75 K | Vmax = 3.424 V | J = 1778.8
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 7.32 A | Time = 1004.0 s | Tmax = 309.56 K | Vmax = 3.434 V | J = 1785.8
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.32 A | Time = 1163.0 s | Tmax = 307.75 K | Vmax = 3.424 V | J = 1778.9
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 7.07 A | Time = 1040.0 s | Tmax = 309.11 K | Vmax = 3.432 V | J = 1779.6
I = 6.07 A | Time = 1211.0 s | Tmax = 307.30 K | Vmax = 3.422 V | J = 1787.0
    6               79            1776            1784        3
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.32 A | Time = 1163.0 s | Tmax = 307.75 K | Vmax = 3.424 V | J = 1778.8
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.32 A | Time = 1163.0 s | Tmax = 307.75 K | Vmax = 3.424 V | J = 1778.9
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.32 A | Time = 1163.0 s | Tmax = 307.75 K | Vmax = 3.424 V | J = 1778.9
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.07 A | Time = 1211.0 s | Tmax = 307.30 K | Vmax = 3.422 V | J = 1787.0
I = 6.70 A | Time = 1098.0 s | Tmax = 308.44 K | Vmax = 3.428 V | J = 1775.0
I = 6.95 A | Time = 1058.0 s | Tmax = 308.89 K | Vmax = 3.431 V | J = 1776.3
    7               90            1775            1777        0
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.95 A | Time = 1058.0 s | Tmax = 308.89 K | Vmax = 3.431 V | J = 1776.3
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.32 A | Time = 1163.0 s | Tmax = 307.75 K | Vmax = 3.424 V | J = 1778.8
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.07 A | Time = 1211.0 s | Tmax = 307.30 K | Vmax = 3.422 V | J = 1787.0
I = 7.07 A | Time = 1040.0 s | Tmax = 309.11 K | Vmax = 3.432 V | J = 1779.6
I = 6.57 A | Time = 1118.0 s | Tmax = 308.21 K | Vmax = 3.427 V | J = 1774.2
    8              101            1774            1777        0
